time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],gamma[rad],mass[kg],masspropellant[kg],u1_vref
427.60000000002873,109511.81956607457,18955.011141525803,4.994625316772361,-856.2416327578559,1.897855793489716,1.8280967606166545,-2.820366316793724,4.71822211028344,779343.0535469259,435061.6844965966,0.14639942068627643
427.70000000002875,109512.26362131597,18869.687536022546,4.440552414031792,-853.2360550325774,1.995878559218034,0.9802276572831787,-2.721714739827454,4.717593299045488,778412.4217482435,434131.0526979142,0.1422417349517675
427.8000000000288,109512.61378981183,18784.653871355193,3.5016849585402645,-850.3366466735234,2.010513169473989,0.14634610255954927,-2.705993786042886,4.716506955516875,777474.5396625653,433193.1706122361,0.13808967833821106
427.9000000000288,109512.86153294159,18699.915397021257,2.4774312975834496,-847.3847433393661,1.9415906208751048,-0.6892254859888427,-2.7737219715505512,4.715312592425656,776519.0741505165,432237.70510018733,0.1339428271074692
428.0000000000288,109513.03223810943,18615.488460490473,1.7070516783442864,-844.2693653078592,1.7870353480219743,-1.545552728531306,-2.92737555738125,4.714410905403224,775551.7412042071,431270.3721538779,0.12980152900776587
428.10000000002884,109513.19018849212,18531.389206255455,1.57950382691098,-840.9925423501845,1.5443093017702694,-2.42726046251705,-3.1699578188953197,4.714267120665589,774589.5857451371,430308.21669480787,0.1256666777617761
428.20000000002887,109513.28509375932,18447.616289837897,0.9490526719293562,-837.7291641755661,1.3845997966090415,-1.5970950516122793,-3.3289220705205524,4.713521867129594,773649.5165758717,429368.14752554253,0.12153916356054562
428.3000000000289,109513.37999489272,18364.15385979534,0.94901133406349,-834.6243004255762,1.3092479044477534,-0.7535189216128815,-3.404278127571536,4.713526032019289,772730.7893593535,428449.42030902434,0.11741902184054709
428.4000000000289,109513.50331443113,18280.993458009103,1.2331953840747913,-831.6040178623739,1.3185249878434975,0.09277083395744001,-3.3953469032218093,4.713871891065307,771817.593726027,427536.22467569774,0.11330557136999175
428.50000000002893,109513.65109197602,18198.137534609734,1.4777754489366541,-828.5592339936748,1.4132253361922702,0.9470034834877274,-3.300947190644325,4.714172526836595,770901.7194424771,426620.3503921479,0.10919848955922329
428.60000000002896,109513.78521121021,18115.593600722492,1.3411923419937997,-825.4393388724087,1.5944737896348995,1.8124845344262932,-3.1195400117373104,4.71401380137221,769986.1704692112,425704.801418882,0.10509799041667289
428.700000000029,109513.99170795386,18033.36338347245,2.064967436492739,-822.302172500434,1.684436531903521,0.899627422686215,-3.0304636459033683,4.714900177806889,769079.232768753,424797.86371842376,0.10100453984638924
428.800000000029,109514.23576803973,17951.44006487279,2.440600858738132,-819.2331859966087,1.6820057109996691,-0.02430820903851838,-3.0333623889815113,4.7153680999811804,768183.0452705995,423901.67622027034,0.09691831873431611
428.900000000029,109514.51907186856,17869.82213990149,2.833038288368053,-816.1792497129748,1.5866850533651442,-0.9532065763452493,-3.129175011234773,4.715860064599918,767291.2081791393,423009.83912881004,0.09283908238314931
429.00000000002905,109514.87956538072,17788.510713337688,3.6049351214853678,-813.1142656380204,1.398704030837996,-1.8798102252714808,-3.318118411920626,4.716822442758622,766402.6883796655,422121.3193293362,0.0887668483474473
429.10000000002907,109515.22620643875,17707.497363692055,3.4664105803549186,-810.1334964563198,1.300840550174732,-0.9786348066326408,-3.4158272181394937,4.716667768314226,765518.9755800639,421237.6065297346,0.0847017638375418
429.2000000000291,109515.59597080288,17626.775961418283,3.697643641335735,-807.2140227377097,1.2932090545265187,-0.07631495648213227,-3.4237606413495385,4.716969695876057,764632.3428402032,420350.973789874,0.08064349847871721
429.3000000000291,109515.99220370784,17546.350077113526,3.962329049558164,-804.2588430475741,1.3764548483982415,0.8324579387172272,-3.3408607759719153,4.717315624370157,763736.8519503536,419455.4829000244,0.07659183336122966
429.40000000002914,109516.38251283803,17466.229417178743,3.903091301896589,-801.2065993478084,1.5519578095407096,1.7550296114246815,-3.1653026489744427,4.7172604585151525,762836.653559589,418555.2845092597,0.07254703514516314
429.50000000002916,109516.69679230606,17386.418476549592,3.1427946803262654,-798.1094062915001,1.8197231490167738,2.677653394760641,-2.8966036103382784,4.716326759355052,761942.4036161443,417661.0345658151,0.06850968107418187
429.6000000000292,109517.00123471668,17306.902350069704,3.044424106237261,-795.1612647988661,1.9915387842282986,1.7181563521152472,-2.7246788650883724,4.716217649316671,761059.6046952436,416778.2356449144,0.06448008850107745
429.7000000000292,109517.23154568167,17227.662119033655,2.303109649905873,-792.4023103604775,2.070003248156928,0.7846446392862951,-2.6452922143701154,4.715295462527044,760173.2397909298,415891.8707406006,0.06045759384888094
429.80000000002923,109517.3549723212,17148.694291709962,1.2342663952661215,-789.6782732369281,2.0569704045182475,-0.1303284363868059,-2.65698157364922,4.713951978167468,759264.6383481795,414983.2692978503,0.056441323760028084
429.90000000002925,109517.37111146876,17070.01209567184,0.16139147554420252,-786.821960381226,1.951532911166179,-1.0543749335206858,-2.7610611873791715,4.712594098545351,758330.6821521028,414049.3131017737,0.05243118137267366
430.0000000000293,109517.31886432826,16991.638340946327,-0.5224714049932938,-783.7375472551258,1.7502909373235425,-2.012419738426365,-2.9614314023860566,4.711722339709599,757385.2827996663,413103.91374933714,0.048427919661307994
430.1000000000293,109517.27639350013,16913.589723435598,-0.42470828130767824,-780.4861751072815,1.4558676074256145,-2.944233298979279,-3.255977214391078,4.711844821816692,756452.286155112,412170.9171047828,0.04443278535747863
