time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],mass[kg],gimbalanglecommanded[deg],u0
114.99999999999774,21061.394005634098,56085.43586873067,519.4051266928291,924.6858680376027,2.590829949335162,0.07829724314524951,1.531822619984713,3767870.0429645213,6.6189146824101925,0.14708699294244873
115.09999999999773,21113.292802638745,56177.82706673388,518.9879700464755,923.9119800321181,2.59855491316441,0.07724963829247639,1.5395620180498215,3767390.357512359,6.558952758169699,0.1457545057371044
115.19999999999773,21165.14974976656,56270.14059627416,518.5694712781328,923.1352954027982,2.606175905058978,0.0762099189456783,1.5471976566082617,3766910.6720601968,6.498581542849877,0.1444129231744417
115.29999999999772,21216.964716927923,56362.37618176466,518.1496716136492,922.3558549049949,2.6136937262944557,0.07517821235477998,1.5547303527021055,3766430.9866080345,6.437840992155628,0.14306313315901395
115.39999999999772,21268.7375780306,56454.533551678825,517.728611026762,921.5736991416866,2.621109190066868,0.07415463772412403,1.5621609343852751,3765951.301155872,6.37676971091958,0.14170599357599065
115.49999999999771,21320.468210857787,56546.61243853302,517.3063282718709,920.7888685418978,2.628423120713485,0.07313930646616881,1.5694902399779627,3765471.61570371,6.315404988123835,0.14034233306941857
115.5999999999977,21372.156496949414,56638.61257886706,516.8828609162791,920.0014033404298,2.63563635295837,0.07213232244884862,1.576719117344857,3764991.9302515476,6.253782831135588,0.13897295180301306
115.6999999999977,21423.802321486604,56730.53371322295,516.4582453718887,919.2113435588452,2.6427497311820427,0.0711337822367266,1.5838484231965753,3764512.2447993853,6.19193799919292,0.13759862220428712
115.7999999999977,21475.40557317924,56822.375586121714,516.032516926339,918.4187289876569,2.6497641087146495,0.07014377532606816,1.5908790224136926,3764032.559347223,6.12990403614043,0.13622008969200955
115.89999999999769,21526.9661441566,56914.13794603868,515.6057097735794,917.6235991696674,2.656680347152046,0.06916238437396256,1.5978117873928046,3763552.8738950607,6.06771330242598,0.134838073387244
115.99999999999768,21578.483929860984,57005.82054537712,515.177857043868,916.8259933844105,2.663499315694208,0.06818968542161927,1.60464759741404,3763073.1884428984,6.005397006386439,0.13345326680858755
116.09999999999768,21629.9588289443,57097.423140440485,514.7489908331904,916.0259506336471,2.6702218905054043,0.06722574811196308,1.6113873380294794,3762593.502990736,5.942985234817718,0.13206633855150485
116.19999999999767,21681.39074316751,57188.945491403276,514.3191422320946,915.2235096278691,2.6768489540955693,0.06627063590165169,1.6180319004719321,3762113.817538574,5.880506982859597,0.1306779329524355
