time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],gamma[rad],mass[kg],masspropellant[kg],u0,u1,u2,u3
412.2999999999883,13462.732601067415,14660.849745679388,0.3553330457851118,-533.6661548994737,1.5598618903526382,0.0011318495122901976,-3.1531929238871914,4.71305481423983,301307.4882134889,28255.760732367416,-0.19727888847373076,-0.9786206412907632,0.0,0.0
412.3099999999883,13462.736272724647,14655.514837043795,0.3671657231505527,-533.4908635593447,1.5598732435491773,0.0011353196539198131,-3.1532039691751064,4.713077212724284,301286.3025180919,28234.575036970422,-0.19718243339902453,-0.9786788085197259,0.0,0.0
412.3199999999883,13462.740062635909,14650.18168088361,0.37899112611644054,-533.3156160184171,1.5598846314064634,0.0011387857286089488,-3.153214980827242,4.713099612233705,301265.1222995866,28213.394818465084,-0.19708538658280012,-0.9787369630816102,0.0,0.0
412.3299999999883,13462.74397072815,14644.850276760852,0.39080922419630326,-533.1404122758793,1.5598960538837694,0.0011422477306108061,-3.1532259588226106,4.71312201270638,301243.94755671395,28192.22007559246,-0.19698774605834588,-0.9787951049645927,0.0,0.0
412.33999999998827,13462.74799692802,14639.520624237543,0.40261998690083894,-532.9652523309205,1.5599075109403113,0.0011457056541898363,-3.153236903140198,4.713144414080509,301222.77828821546,28171.050807093972,-0.19688951103418684,-0.9788532341724931,0.0,0.0
412.34999999998826,13462.752141161856,14634.192722875716,0.41442338373883203,-532.7901361827118,1.5599190025352476,0.001149159493622025,-3.1532478137589592,4.713166816294207,301201.6144928312,28149.88701170976,-0.19679068075900932,-0.9789113506916692,0.0,0.0
412.35999999998825,13462.7564033557,14628.866572237412,0.42621938421604966,-532.6150638304233,1.5599305286276797,0.0011526092431945454,-3.153258690657821,4.713189219285501,301180.4561693017,28128.72868818021,-0.19669125383143526,-0.9789694545246675,0.0,0.0
412.36999999998824,13462.760783435277,14623.54217188468,0.43800795783583163,-532.4400352732102,1.5599420891766518,0.001156054897205933,-3.153269533815679,4.713211622992331,301159.30331636616,28107.57583524468,-0.19659122921922917,-0.9790275456605741,0.0,0.0
412.37999999998823,13462.765281326017,14618.219521379577,0.4497890740984132,-532.2650505102247,1.5599536841411514,0.0011594964499658837,-3.1532803432114007,4.713234027352552,301138.15593276406,28086.428451642565,-0.19649060590583534,-0.9790856240997527,0.0,0.0
412.3899999999882,13462.769896953043,14612.89862028417,0.4615627025013519,-532.0901095406049,1.5599653134801095,0.001162933895795383,-3.1532911188238213,4.713256432303931,301117.01401723386,28065.28653611238,-0.19638938290962182,-0.9791436898327447,0.0,0.0
412.3999999999882,13462.774630241169,14607.579468160535,0.4733288125388828,-531.9152123634852,1.5599769771523997,0.0011663672290265048,-3.1533018606317453,4.713278837784145,301095.877568514,28044.150087392576,-0.19628755898150646,-0.9792017428588224,0.0,0.0
412.4099999999882,13462.779481114905,14602.262064570756,0.4850873737022338,-531.7403589779864,1.5599886751168397,0.0011697964440025032,-3.153312568613945,4.713301243730784,301074.7465853422,28023.019104220744,-0.19618513304884155,-0.9792597831688908,0.0,0.0
412.4199999999882,13462.78444949846,14596.946409076923,0.4968383554789578,-531.565549383226,1.5600004073321905,0.0011732215350776056,-3.1533232427491615,4.713323650081352,301053.62106645596,28001.89358533449,-0.19608210384296115,-0.9793178107629501,0.0,0.0
412.4299999999882,13462.789535315733,14591.63250124114,0.508581727353507,-531.3907835783073,1.5600121737571566,0.0011766424966171984,-3.1533338830161046,4.713346056773261,301032.5010105919,27980.77352947047,-0.19597847068293453,-0.9793758256309957,0.0,0.0
412.4399999999882,13462.79473849032,14586.320340625516,0.5203174588066055,-531.2160615623296,1.5600239743503865,0.0011800593229976378,-3.153344489393449,4.713368463743835,301011.38641648676,27959.65893536532,-0.1958742324504888,-0.9794338277726637,0.0,0.0
412.44999999998817,13462.800058945513,14581.009926792172,0.5320455193152857,-531.0413833343799,1.5600358090704727,0.0011834720086062362,-3.1533550618598367,4.71339087093031,300990.2772828763,27938.5498017549,-0.19576938746728498,-0.9794918171795871,0.0,0.0
412.45999999998816,13462.805496604296,14575.701259303238,0.5437658783525384,-530.8667488935403,1.560047677875951,0.0011868805478411693,-3.153365600393877,4.713413278269828,300969.1736084963,27917.446127374926,-0.19566393491555603,-0.9795497938503104,0.0,0.0
