time,x,y,vx,vy,theta,theta_dot,alpha,mass,MomentsApplied,ParallelThrust,PerpendicularThrust
88.65,8176.5972243375,30957.7363046812,362.165445443881,834.866040547398,1.12544808768714,-0.0104135609403142,0.0360470249425162,4924824.4623229,-22190706.4662544,138063437.297849,-467458.908140643
88.66,8180.21887879193,30966.0849650867,362.285273451876,835.022226457491,1.12534395207773,-0.0104253488875069,0.0360986757604267,4924440.71788215,-22109821.1670636,138063534.810041,-465752.607855028
88.67,8183.84173152645,30974.4351873513,362.405140438157,835.17841876921,1.12523969858886,-0.0104370941101138,0.0361504300005104,4924056.9734147,-22028707.8222004,138063632.324242,-464041.521366827
88.68,8187.46578293083,30982.786971539,362.525046446098,835.334617461911,1.12513532764776,-0.010448796485577,0.0362022871958854,4923673.22892058,-21947367.1655978,138063729.839838,-462325.664210745
88.69,8191.09103339529,30991.1403177136,362.644991518943,835.490822514994,1.1250308396829,-0.0104604558917246,0.0362542468786342,4923289.4843998,-21865799.9333094,138063827.356219,-460605.051965845
88.7,8194.71748331048,30999.4952259388,362.764975699798,835.647033907903,1.12492623512399,-0.0104720722067709,0.0363063085798077,4922905.73985239,-21784006.8635033,138063924.872771,-458879.7002554
88.71,8198.34513306748,31007.8516962778,362.884999031635,835.803251620127,1.12482151440192,-0.0104836453093185,0.0363584718294292,4922521.99527838,-21701988.6964586,138064022.388884,-457149.624746838
88.72,8201.9739830578,31016.209728794,363.005061557292,835.959475631201,1.12471667794882,-0.0104951750783587,0.0364107361564996,4922138.2506778,-21619746.174554,138064118.668039,-455414.841151483
88.73,8205.60403367337,31024.5693235503,363.125163318504,836.115705918475,1.12461172619804,-0.0105066613922058,0.0364631010889997,4921754.50604722,-21537280.0422636,138064214.865834,-453675.365224454
88.74,8209.23528530656,31032.9304806095,363.24530435669,836.271942459167,1.12450665958412,-0.0105181041305613,0.0365155661539858,4921370.76138991,-21454591.0461698,138064311.06111,-451931.212764996
88.75,8212.86773835012,31041.2932000341,363.36548471421,836.428185232801,1.12440147854281,-0.0105295031735874,0.0365681308774093,4920987.0167061,-21371679.9349359,138064407.253271,-450182.398359124
88.76,8216.50139319727,31049.6574818865,363.485704433356,836.584434219095,1.12429618351108,-0.010540858401801,0.0366207947842092,4920603.27199584,-21288547.4593015,138064503.441752,-448428.932586738
88.77,8220.1362502416,31058.0233262286,363.605963556283,836.740689397809,1.12419077492706,-0.0105521696959492,0.0366735573983188,4920219.52725914,-21205194.3720736,138064599.625888,-446670.838001599
88.78,8223.77230987716,31066.3907331226,363.72626212502,836.896950748749,1.1240852532301,-0.0105634369373799,0.0367264182426608,4919835.78249604,-21121621.4281251,138064695.805069,-444908.130576493
88.79,8227.40957249841,31074.7597026301,363.846600181448,837.053218251768,1.12397961886073,-0.0105746600078381,0.0367793768391784,4919452.03770659,-21037829.3843836,138064791.978688,-443140.826327153
88.8,8231.04803850023,31083.1302348126,363.966977767304,837.209491886772,1.12387387226065,-0.0105858387894669,0.0368324327088267,4919068.2928908,-20953818.9998233,138064888.146139,-441368.941312095
88.81,8234.6877082779,31091.5023297315,364.087394924191,837.365771633709,1.12376801387275,-0.0105969731648082,0.0368855853715748,4918684.54804872,-20869591.0354592,138064984.306814,-439592.491632479
88.82,8238.32858222714,31099.8759874478,364.207851693571,837.522057472578,1.12366204414111,-0.0106080630168043,0.0369388343464128,4918300.80318039,-20785146.254341,138065080.460108,-437811.493431997
88.83,8241.97066074408,31108.2512080226,364.328348116766,837.678349383423,1.12355596351094,-0.0106191082287986,0.036992179151353,4917917.05828584,-20700485.4215444,138065176.605417,-436025.962896676
88.84,8245.61394422524,31116.6279915164,364.448884234958,837.834647346338,1.12344977242865,-0.0106301086845372,0.0370456193034372,4917533.31336511,-20615609.3041658,138065271.463505,-434235.916254774
88.85,8249.25843306759,31125.0063379898,364.56946008819,837.990951339165,1.1233434713418,-0.0106410642670498,0.0370991543187389,4917149.56841469,-20530518.6713141,138065366.292939,-432441.36977658
88.86,8252.90412766848,31133.3862475032,364.690075716222,838.147261339717,1.12323706069913,-0.0106519748608708,0.0371527837124626,4916765.82343812,-20445214.2941241,138065461.112335,-430642.339774756
88.87,8256.55102842564,31141.7677201166,364.810731159797,838.303577328198,1.12313054095052,-0.0106628403509571,0.0372065069987499,4916382.07843549,-20359696.9457292,138065555.921089,-428838.842603703
88.88,8260.19913573724,31150.1507558899,364.931426459532,838.459899284894,1.12302391254701,-0.0106736606226723,0.0372603236907876,4915998.33340686,-20273967.4012556,138065650.718601,-427030.89465946
88.89,8263.84845000183,31158.5353548828,365.052161655902,838.616227190143,1.12291717594079,-0.0106844355617878,0.0373142333008107,4915614.58835225,-20188026.4378156,138065745.50427,-425218.512379554
88.9,8267.49897161839,31166.9215171547,365.17293678924,838.772561024332,1.12281033158517,-0.0106951650544839,0.0373682353401097,4915230.84327173,-20101874.8344979,138065840.277496,-423401.712242802
88.91,8271.15070098628,31175.3092427649,365.293751899736,838.928900767896,1.12270337993463,-0.0107058489873511,0.0374223293190339,4914847.09816532,-20015513.3723625,138065935.037692,-421580.509288666
88.92,8274.80363850528,31183.6985317726,365.414607027437,839.085246401322,1.12259632144475,-0.0107164872473444,0.0374765147469949,4914463.3530331,-19928942.8344345,138066029.784295,-419754.915728608
88.93,8278.45778457555,31192.0893842366,365.535502212249,839.241597905144,1.12248915657228,-0.0107270797216959,0.0375307911324685,4914079.60787509,-19842164.0056948,138066124.516659,-417924.954058523
88.94,8282.11313959768,31200.4818002157,365.656437493941,839.397955259945,1.12238188577506,-0.010737626298234,0.0375851579829911,4913695.86269135,-19755177.6730798,138066219.234189,-416090.640921376
