time,x,y,vx,vy,theta,theta_dot,alpha,MomentsApplied,ParallelThrust,PerpendicularThrust
1.15,-0.0585670836015728,3.11624023686105,-0.101541266874878,6.38261059248036,1.56971611836033,-0.00193157301142075,0.0169879158027189,-36503003.1175375,131672014.685532,-768142.896132837
1.16,-0.0595824962703216,3.18006634278586,-0.102320339715949,6.44770245471589,1.56969680263022,-0.00194859048952901,0.0169674635575161,-36488172.4974086,131672067.539562,-767835.71931979
1.17,-0.0606056996674811,3.24454336733301,-0.103095952406978,6.5128021550077,1.56967731672533,-0.00196560150997783,0.0169474261592599,-36473056.8987744,131672120.980248,-767522.541620785
1.18,-0.0616366591915508,3.30967138888309,-0.103868069397399,6.57790969487883,1.56965766071023,-0.00198260593965841,0.0169277910130041,-36457656.4366793,131672175.007499,-767203.365341709
1.19,-0.0626753398855248,3.37545048583188,-0.104636655144616,6.64302507585014,1.56963783465083,-0.00199960364550691,0.0169085460132423,-36441971.2284659,131672229.621293,-766878.188257816
1.2,-0.063721706436971,3.44188073659038,-0.105401674114275,6.70814829944028,1.56961783861437,-0.00201659449444238,0.0168896795202749,-36426001.3937727,131672284.821735,-766546.999869352
1.21,-0.0647757231781137,3.50896221958478,-0.106163090774873,6.77327936716574,1.56959767266943,-0.00203357835325284,0.0168711803370911,-36409747.0545359,131672340.608452,-766209.820128058
1.22,-0.0658373540858625,3.57669501325644,-0.106920869587712,6.83841828054103,1.5695773368859,-0.00205055508901617,0.0168530376868865,-36393208.33499,131672396.981343,-765866.651533972
1.23,-0.0669065627817396,3.64507919606185,-0.107674975044866,6.90356504107801,1.56955683133501,-0.00206752456885957,0.0168352411988006,-36376385.361664,131672453.940304,-765517.496635486
1.24,-0.0679833125321882,3.71411484647263,-0.108425371647767,6.96871965028629,1.56953615608932,-0.0020844866599606,0.0168177808859273,-36359278.2633802,131672511.485225,-765162.358029318
1.25,-0.0690675662486659,3.7838020429755,-0.109172023907486,7.03388210967311,1.56951531122272,-0.00210144122954828,0.016800647127623,-36341887.1712539,131672569.615998,-764801.238360502
1.26,-0.0701592864877408,3.85414086407223,-0.109914896345006,7.09905242074337,1.56949429681042,-0.00211838814490418,0.0167838306527832,-36324212.2186904,131672628.332507,-764434.140322341
1.27,-0.0712584354511908,3.92513138827966,-0.110653953491505,7.1642305849996,1.56947311292897,-0.00213532727336343,0.0167673225240275,-36306253.541388,131672687.634638,-764061.066656452
1.28,-0.0723649749861059,3.99677369412966,-0.111389159888632,7.2294166039419,1.56945175965624,-0.00215225848231588,0.0167511141227319,-36288011.2773324,131672747.522271,-763682.020152668
1.29,-0.0734788665849922,4.06906786016908,-0.112120480088784,7.29461047906796,1.56943023707142,-0.00216918163920709,0.0167351971348602,-36269485.5667988,131672807.995283,-763297.003649074
1.3,-0.07460007138588,4.14201396495975,-0.112847878655386,7.359812211873,1.56940854525503,-0.00218609661153944,0.0167195635375423,-36250676.5523513,131672869.053552,-762906.020031997
1.31,-0.0757285501724339,4.21561208707848,-0.113571320163166,7.42502180384977,1.56938668428891,-0.00220300326687321,0.0167042055863569,-36231584.3788394,131672930.696948,-762509.072235931
1.32,-0.0768642633740655,4.28986230511698,-0.114290769198435,7.4902392564885,1.56936465425624,-0.00221990147282763,0.0166891158032709,-36212209.1933989,131672992.925341,-762106.16324357
1.33,-0.0780071710660499,4.36476469768187,-0.115006190359365,7.55546457127689,1.56934245524151,-0.00223679109708196,0.0166742869652023,-36192551.1454505,131673055.7386,-761697.296085764
1.34,-0.0791572329696435,4.44031934339464,-0.115717548256264,7.62069774970011,1.56932008733054,-0.00225367200737656,0.0166597120931646,-36172610.386699,131673119.136586,-761282.473841514
1.35,-0.0803144084522062,4.51652632089164,-0.116424807511857,7.68593879324071,1.56929755061047,-0.00227054407151395,0.0166453844419607,-36152387.0711316,131673183.119247,-760861.694198532
1.36,-0.0814786565273247,4.59338570882404,-0.117127932761562,7.75118770337866,1.56927484516975,-0.00228740715728487,0.0166312974903933,-36131881.3550167,131673247.686609,-760434.949348265
1.37,-0.0826499358549404,4.67089758585783,-0.117826888647019,7.81644448159139,1.56925197109818,-0.00230426113239283,0.016617444931099,-36111093.3969049,131673312.838274,-760002.258961833
1.38,-0.0838282047414105,4.74906203067374,-0.118521639809491,7.88170912935386,1.56922892848686,-0.00232110586483361,0.0166038206608656,-36090023.3576308,131673378.574096,-759563.626311217
1.39,-0.0850134211395055,4.82787912196728,-0.119212150924168,7.94698164813806,1.56920571742821,-0.00233794122266942,0.0165904187765757,-36068671.4003063,131673444.893924,-759119.054716412
1.4,-0.0862055426487471,4.90734893844866,-0.119898386680044,8.01226203941328,1.56918233801598,-0.00235476707402999,0.0165772335645495,-36047037.6903206,131673511.797607,-758668.547545423
1.41,-0.0874045265155476,4.9874715588428,-0.120580311780192,8.07755030464609,1.56915879034524,-0.00237158328711364,0.0165642594929269,-36025122.3953406,131673579.284989,-758212.108214282
1.42,-0.0886103296333495,5.06824706188926,-0.121257890942046,8.1428464453003,1.56913507451237,-0.00238838973018837,0.0165514912044149,-36002925.6853052,131673647.355911,-757749.740186922
1.43,-0.0898229085427699,5.14967552634226,-0.121931088897675,8.20815046283694,1.56911119061507,-0.00240518627159285,0.0165389235093769,-35980447.7324292,131673716.010214,-757281.446975271
1.44,-0.0910422194317467,5.23175703097063,-0.122599870394061,8.27346235871426,1.56908713875235,-0.00242197277973759,0.0165265513792476,-35957688.7111984,131673785.247733,-756807.232139137
1.45,-0.0922682181356873,5.31449165455777,-0.123264200193374,8.33878213438765,1.56906291902456,-0.00243874912310591,0.0165143699402548,-35934648.7983709,131673855.068303,-756327.099286247
1.46,-0.093500860137621,5.39787947590165,-0.123924043073253,8.40410979130967,1.56903853153332,-0.00245551517025508,0.0165023744674326,-35911328.1729734,131673925.471754,-755841.052072171
1.47,-0.0947401005683536,5.48192057381474,-0.12457936382708,8.46944533093002,1.56901397638162,-0.00247227078981733,0.0164905603789092,-35887727.0163026,131673996.457915,-755349.094200343
1.48,-0.0959858942066244,5.56661502712404,-0.125230127264255,8.53478875469549,1.56898925367372,-0.00248901585050094,0.0164789232304527,-35863845.5119218,131674068.026612,-754851.229422004
1.49,-0.0972381954792669,5.651962914671,-0.125876298210479,8.60014006404993,1.56896436351522,-0.0025057502210913,0.0164674587102684,-35839683.8456604,131674140.177668,-754347.461536181
1.5,-0.0984969584613717,5.7379643153115,-0.126517841508022,8.66549926043429,1.56893930601301,-0.00252247377045199,0.0164561626340258,-35815242.2056122,131674212.910903,-753837.794389662
1.51,-0.0997621368764519,5.82461930791584,-0.127154722016009,8.73086634528651,1.5689140812753,-0.00253918636752581,0.0164450309401083,-35790520.7821351,131674286.22623,-753322.225605651
