time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],mass[kg],mass_propellant[kg],gimbalangle[deg],nonnominalthrottle[0-1],u0,u1
39.000000000000284,221.18441280588453,5709.318620625127,13.255300388753032,289.1599862222551,1.483982810041878,-0.0031840770641982934,-0.041004871226794526,7477451.882027423,3910526.5550030624,-6.303628035252638,0.4534668531362174,-0.9005182907503768,-0.09306629372756525
39.100000000000286,222.51457600672248,5738.280882962403,13.30163200837957,289.62262337276144,1.483660539369795,-0.003222706720831508,-0.041240576774640214,7474317.452073356,3907392.125048996,-6.305947791623344,0.45412967478121624,-0.9008496845176205,-0.09174065043756752
39.20000000000029,223.84943458469428,5767.289548108398,13.348585779717986,290.08665145994865,1.483334555287403,-0.0032598408239172022,-0.04147835251913068,7471181.529489605,3904256.2024652446,-6.309006346687622,0.45482413319447135,-0.9012866209553745,-0.0903517336110573
39.30000000000029,225.18905246068408,5796.344758149585,13.396178759898076,290.55210041186467,1.4830050272589343,-0.0032952802846894272,-0.04171798433797114,7468044.050004881,3901118.722980521,-6.312732018089084,0.4555488471601765,-0.9018188597270119,-0.08890230567964696
39.40000000000029,226.53349515179596,5825.4466580570825,13.444426911118843,291.0189990749727,1.4826721426468228,-0.0033288461211127833,-0.04195924416776853,7464904.95202532,3897979.6250009607,-6.317047102449629,0.45630252531327464,-0.9024353003499469,-0.08739494937345071
39.50000000000029,227.88282965522617,5854.595395588027,13.493345034302129,291.48737530944436,1.482336104584234,-0.0033603806258862444,-0.04220189234409876,7461764.176447881,3894838.849423522,-6.321868812078209,0.45708395944099145,-0.9031241160111728,-0.0858320811180171
39.60000000000029,229.23712432657672,5883.791121195684,13.542946713505323,291.95725607657135,1.481997129752423,-0.003389748318112946,-0.042445679996519825,7458621.666488244,3891696.339463885,-6.327110230376365,0.4578920183057167,-0.9038728900537665,-0.08421596338856663
39.700000000000294,230.59644875372246,5913.033987947554,13.593244271457305,292.4286675186971,1.4816554460849602,-0.0034168366746275347,-0.042690351475720645,7455477.367522171,3888552.040497811,-6.332681277127765,0.45872564196080434,-0.9046687538753949,-0.08254871607839132
39.800000000000296,231.96087362736935,5942.32415145076,13.644248736468976,292.90163503205537,1.4813112904210546,-0.0034415566390572174,-0.04293564679020756,7452331.226939353,3885405.8999149934,-6.338489674949371,0.45958383653220247,-0.9054985249927673,-0.08083232693559506
39.9000000000003,233.3304706094551,5971.661769784049,13.695969820857343,293.3761833328947,1.4809649061301802,-0.0034638429087471465,-0.043181304030337264,7449183.19400882,3882257.86698446,-6.34444190836689,0.4604656694400444,-0.9063488440524128,-0.07906866111991118
40.0000000000003,234.70531220054622,6001.047003435775,13.748415910911184,293.85233651725974,1.4806165407300107,-0.0034836540016904413,-0.04342706175809363,7446033.219755013,3879107.892730653,-6.350444167224352,0.46137026503495715,-0.9072063096034788,-0.0772594699300857
40.1000000000003,236.085471607378,6030.480015247254,13.801594068317732,294.3301181147943,1.480266443519256,-0.0035009721075491096,-0.0436726613417937,7442881.25684369,3875955.92981933,-6.356403266457998,0.46229680062511047,-0.9080576094939997,-0.07540639874977906
40.2000000000003,237.47102261166447,6059.960970360947,13.855510042864564,294.8095511369264,1.479914863246384,-0.0035158027287191017,-0.04391784921584496,7439727.259476859,3872801.9324525,-6.362227534650285,0.46324450287051455,-0.9088896478071835,-0.0735109942589709
40.3000000000003,238.86203944127743,6089.490036172926,13.910168296129797,295.29065811979285,1.4795620458344676,-0.0035281741191644776,-0.04416237904679421,7436571.183295968,3869645.8562716087,-6.367827664229457,0.46421264452156663,-0.9096896663184939,-0.07157471095686674
40.400000000000304,240.25859664485517,6119.067382289151,13.96557203577747,295.7734611622568,1.4792082321814266,-0.003538136530410004,-0.044406013788148575,7433412.985292628,3866487.6582682687,-6.37311751667692,0.46520054147971335,-0.9104453595252742,-0.0695989170405733
40.500000000000306,241.66076897085364,6148.693180485088,14.021723259984636,296.25798195937216,1.478853656053864,-0.00354576127562396,-0.04464852760783767,7430252.62372618,3863327.29670182,-6.378014876661259,0.4662075501582197,-0.9111449823801799,-0.06758489968356063
40.60000000000031,243.06863125199789,6178.367604668253,14.078622811442555,296.7442418316439,1.4784985420914512,-0.0035511396241329264,-0.04488970767368228,7427090.058047438,3860164.7310230783,-6.3824421496133805,0.46723306512156837,-0.9117774499447686,-0.06553386975686326
40.70000000000031,244.48225829602762,6208.090830843296,14.13627044029728,297.2322617504339,1.478143103937453,-0.003554381539978692,-0.04512935578382349,7423925.248827999,3856999.92180364,-6.386326997888638,0.46827651698229333,-0.9123324282698053,-0.06344696603541333
40.80000000000031,245.90172478356016,6237.863037079283,14.194664875325302,297.7220623598582,1.4777875425095286,-0.003555614279245473,-0.045367289830758,7420758.157694516,3853832.8306701565,-6.389602911324714,0.46933737053445723,-0.9128004159035306,-0.061325258931085536
40.90000000000031,247.32710517381798,6267.684403478835,14.253803902578264,298.2136639955181,1.4774320444233442,-0.0035549808618441808,-0.04560334508935737,7417588.747267378,3850663.4202430183,-6.392209708701875,0.47041512310314504,-0.9131728155288392,-0.05916975379370992
41.00000000000031,248.75847361888572,6297.555112148875,14.31368445067735,298.7070867004043,1.4770767805799203,-0.003552638434238542,-0.04583737532104836,7414416.981103294,3847491.6540789343,-6.394093967307789,0.4715093030898987,-0.9134419953296841,-0.05698139382020262
41.100000000000314,250.19590388707502,6327.475347172706,14.374302681893123,299.20235023830736,1.4767219049258975,-0.003548756540229047,-0.046069253688157515,7411242.8236412695,3844317.49661691,-6.395209378528393,0.47261946869415317,-0.9136013397897703,-0.05476106261169367
41.200000000000315,251.63946929588607,6357.445294583213,14.43565408811061,299.69947410506046,1.4763675533941603,-0.0035435153173730295,-0.046298873474258644,7408066.240151538,3841140.9131271783,-6.395517028105898,0.473745206791385,-0.913645289729414,-0.052509586417230025
41.30000000000032,253.0892426549613,6387.465142337006,14.49773359075226,300.1984775379329,1.476013843030469,-0.0035371036369116144,-0.04652614860820181,7404887.196687022,3837961.8696626634,-6.394985600425329,0.47488613194885065,-0.9135693714893327,-0.05022773610229869
41.40000000000032,254.54529621933264,6417.5350802893545,14.560535643713274,300.6993795234815,1.4756608713099486,-0.0035297172052012565,-0.04675101399131876,7401705.660036957,3834780.3330125976,-6.393591506883809,0.476041885560865,-0.9133702152691155,-0.04791622887826996
41.50000000000032,256.0077016531681,6447.65530016977,14.62405433835447,301.2021988041567,1.4753087156454878,-0.0035215566446070686,-0.04697342562908613,7398521.597682305,3831596.2706579454,-6.391318939095856,0.47721213508552296,-0.9130455627279793,-0.04557572982895408
41.60000000000032,257.4765300041279,6477.825995558164,14.688283509597449,301.7069538839445,1.4749574330883268,-0.0035128255716130635,-0.04719336057025725,7395334.977752683,3828409.6507283235,-6.3881598483506155,0.4783965733661799,-0.9125942640500879,-0.04320685326764018
