time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],gamma[rad],alpha[rad],mass[kg],mass_propellant[kg],gimbalangle[deg],nonnominalthrottle[0-1],u0,u1
5.1999999999999975,2.04454866253706,92.62864610161556,1.331663737346738,34.74913075656297,1.5584861253034161,0.004895964031247385,87.80537260847646,0.025993272345059992,8866967.471121646,5300042.1440972835,0.7686291434268471,1.0,0.10980416334669242,1.0
5.299999999999997,2.178641375480781,96.17261188172118,1.3409271294372092,35.43965780105621,1.5589453215716946,0.004591962682785774,87.83313842333496,0.025967863724558615,8862650.429333983,5295725.102309619,0.9110913674743589,1.0,0.13015590963919413,1.0
5.399999999999997,2.3134333568593703,99.7857134775503,1.347919813785894,36.131015958291236,1.5593698906207047,0.004245690490102131,87.86348887744472,0.02586271741987778,8858333.426695067,5291408.099670704,1.0418272776754658,1.0,0.14883246823935226,1.0
5.4999999999999964,2.4487159059177865,103.46803352607512,1.35282549058416,36.82320048524809,1.5597559907006717,0.0038610007996723985,87.89599096016957,0.025681549142540838,8854016.463908765,5287091.136884402,1.159875890113976,1.0,0.16569655573056802,1.0
5.599999999999996,2.5843006095062995,107.21965443208389,1.355847035885128,37.51620906008764,1.5601001960022445,0.0034420530157231177,87.93021417844034,0.025428446604659705,8849699.53997817,5282774.212953808,1.2644048157599022,1.0,0.18062925939427174,1.0
5.699999999999996,2.7200208071787224,111.04065853009163,1.3572019767242278,38.21004098007754,1.5603995200716532,0.0029932406940909465,87.96573713250424,0.02510777816561882,8845382.652317245,5278457.3252928825,1.354718553105439,1.0,0.19353122187220556,1.0
5.799999999999995,2.855732712341414,114.93112819890595,1.3571190516269178,38.90469668814324,1.5606514333129784,0.0025191324132486214,88.00215181343977,0.024724135328555663,8841065.79691631,5274140.469891949,1.430264192501453,1.0,0.20432345607163613,1.0
5.899999999999995,2.9913163033002306,118.89114595374794,1.3558359095881665,39.600177548419914,1.5608538760015844,0.002024426886061939,88.0390658175751,0.02428230710490542,8836748.968552021,5269823.64152766,1.4906320317194246,1.0,0.21294743310277495,1.0
5.999999999999995,3.126675982023592,122.9207945314315,1.3535967872336128,40.296485776835574,1.5610052668055798,0.0015139080399548552,88.07610436973705,0.023787253223503058,8832432.161032751,5265506.83400839,1.53555581946972,1.0,0.21936511706710285,1.0
6.099999999999994,3.2617409991559576,127.02015695982499,1.3506501713236556,40.993624283934956,1.561104506829916,0.0009924002433622982,88.1129121551291,0.023244076202380892,8828115.3674694,5261190.040445038,1.5649121595590472,1.0,0.2235588799370067,1.0
6.199999999999994,3.3964656458189078,131.18931659958724,1.3472464666295005,41.69159639762266,1.5611509792364877,0.0004647240657167578,88.14915495296177,0.022657992456637688,8823798.58056097,5256873.253536607,1.5787186260258,1.0,0.2255312322894,1.0
6.299999999999994,3.530829215371462,135.42835716324777,1.3436356955255464,42.39040563660535,1.5611445445372125,-6.43469927531392e-05,88.18452106617248,0.022034302638202163,8819481.79288412,5252556.46585976,1.5771306205330078,1.0,0.22530437436185824,1.0
6.399999999999993,3.6648357400879976,139.73736271170463,1.3400652471653536,43.0900554845688,1.5610855316922165,-0.0005901284499567884,88.21872254324956,0.021378361409166047,8815164.997176232,5248239.670151871,1.5604370267531602,1.0,0.22291957525045145,1.0
